cntry;year;pct
China ;2022;78
Indonesia ;2022;
Thailand ;2022;
Mexico ;2022;65
Peru ;2022;70
Turkey ;2022;60
Colombia ;2022;64
Singapore ;2022;
South Korea ;2022;62
Malaysia ;2022;65
India ;2022;71
South Africa ;2022;57
Chile ;2022;63
Argentina ;2022;55
Brazil ;2022;57
Italy ;2022;50
Hungary ;2022;49
Spain ;2022;53
Japan ;2022;42
New Zealand ;2022;
Germany ;2022;37
Great Britain ;2022;38
Ireland ;2022;
Australia ;2022;37
Poland ;2022;48
Sweden ;2022;40
Switzerland ;2022;
France ;2022;31
Canada ;2022;32
United States ;2022;35
Belgium ;2022;38
Netherlands ;2022;33
Romania ;2022;
Russia ;2022;53
Saudi Arabia ;2022;76
China ;2023;
Indonesia ;2023;78
Thailand ;2023;74
Mexico ;2023;73
Peru ;2023;67
Turkey ;2023;67
Colombia ;2023;65
Singapore ;2023;64
South Korea ;2023;66
Malaysia ;2023;69
India ;2023;65
South Africa ;2023;59
Chile ;2023;59
Argentina ;2023;57
Brazil ;2023;64
Italy ;2023;55
Hungary ;2023;48
Spain ;2023;50
Japan ;2023;52
New Zealand ;2023;44
Germany ;2023;42
Great Britain ;2023;46
Ireland ;2023;40
Australia ;2023;40
Poland ;2023;47
Sweden ;2023;39
Switzerland ;2023;
France ;2023;37
Canada ;2023;38
United States ;2023;37
Belgium ;2023;39
Netherlands ;2023;43
Romania ;2023;61
Russia ;2023;
Saudi Arabia ;2023;
China ;2024;83
Indonesia ;2024;80
Thailand ;2024;77
Mexico ;2024;70
Peru ;2024;70
Turkey ;2024;69
Colombia ;2024;66
Singapore ;2024;66
South Korea ;2024;66
Malaysia ;2024;63
India ;2024;62
South Africa ;2024;62
Chile ;2024;60
Argentina ;2024;57
Brazil ;2024;56
Italy ;2024;53
Hungary ;2024;51
Spain ;2024;50
Japan ;2024;48
New Zealand ;2024;48
Germany ;2024;47
Great Britain ;2024;46
Ireland ;2024;45
Australia ;2024;44
Poland ;2024;44
Sweden ;2024;43
Switzerland ;2024;42
France ;2024;41
Canada ;2024;40
United States ;2024;39
Belgium ;2024;38
Netherlands ;2024;36
Romania ;2024;
Russia ;2024;
Saudi Arabia ;2024;
