cntry;2023;2022;2021;2020
Australia ;40;51;43;51
Austria;63;62;63;59
Belgium ;44;46;49;45
Brazil ;42;40;47;29
Canada ;38;43;47;42
China ;58;66;63;61
Denmark;43;63;49;51
Estonia;41;36;50;24
Finland;39;35;44;48
France ;49;50;53;52
Germany ;52;57;59;58
India ;57;62;49;45
Ireland ;48;37;39;43
Israel;42;56;68;54
Italy ;50;58;58;56
Japan ;42;44;48;45
Luxembourg;51;60;45;58
Malaysia ;55;59;59;53
Mexico ;35;50;56;75
Netherlands ;44;49;52;51
New Zealand ;40;46;41;50
Norway;45;37;41;55
Poland ;60;46;51;43
Portugal;38;38;41;36
Russia ;42;44;39;38
Saudi Arabia ;76;60;55;89
Singapore ;51;57;63;52
South Africa ;32;15;10;15
South Korea ;63;84;59;56
Spain ;44;47;54;45
Sweden ;52;30;30;29
Switzerland ;40;49;60;59
Turkey ;52;55;59;47
United Arab Emirates;57;61;64;60
United Kingdom;39;42;42;38
United States ;42;45;47;40
